Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;244200;209700;237000;2810600;2267800;2604600;181200;167400;192600;1729200;1459900;1617100
200;280200;248300;244100;3084700;2667500;3513900;187000;125200;230000;2681500;2175900;1949400
300;257700;362900;393300;3213400;3216600;2593300;176700;242100;233800;1970000;1623400;1802300
400;276300;217600;221700;2535000;2166000;2042000;143500;140500;144200;1581800;1412300;1605500
500;189800;177300;194500;2064900;1836700;2331400;160600;163100;173000;1786000;1693700;1540100
600;213200;237100;223000;2235800;2367100;2339000;166200;172200;189800;1743400;1706700;1706500
700;258000;211900;229700;2302800;1894400;1906800;145500;152800;165300;1473800;1300400;1345800
800;179500;195600;206700;3534400;1666800;1564500;124600;135000;145900;1245100;1135300;1138200
900;173300;171700;181200;1816500;1630300;1452400;123100;134500;146800;1781700;1260800;1156500
1000;172700;184900;206900;1862900;1612600;1621400;150600;138400;152200;1238000;1171400;1195600
1100;172000;183500;207900;2078000;2150500;1669300;124300;141600;164600;1289900;1195300;1237500
1200;169600;199300;216400;1876800;1657200;1719400;122900;143600;170900;1497000;1550400;1346100
1300;168400;189500;219500;1858500;1613100;1619800;121300;143600;160700;1232600;1159500;1196300
1400;165100;183200;195600;1946400;1674400;1820500;114900;137900;155300;1303800;1224100;1261300
1500;166200;193600;229000;1853300;1612200;1685400;118200;144900;164000;1293000;1334000;1278400
1600;164100;186100;222100;2254600;1664600;1700400;120400;158700;169800;1300500;1218400;1270300
1700;160500;187200;210000;1865400;1903800;1705800;113400;145600;165600;1698500;1364100;1283700
1800;163500;197600;229000;1805600;1579100;1527800;117000;155700;185900;1276000;1287400;1245000
1900;160300;189500;216300;1861200;1962600;1706500;115400;152200;175900;1291100;1230100;1278900
2000;161700;202500;254600;1832800;1970100;1754800;116500;175700;186700;1296600;1372900;1291500
2100;160000;204400;239400;1826600;1706500;1758100;114500;156100;181500;1297200;1278100;1279100
2200;166400;230900;244300;1858000;1676500;1933000;146800;178200;178100;1289600;1230400;1292400
2300;155800;199200;227600;1858900;2120000;2085900;130500;185400;230200;1489000;1329900;1518100
2400;160800;214800;337300;1870900;1591600;1628700;113200;165400;193300;1225800;1224400;1197500
2500;154300;211300;267900;1848600;1659000;1822700;112100;164700;265000;1294400;1249400;1312900
2600;153600;214300;268800;1865300;1845600;1773800;111500;164700;206400;1289100;1250500;1292000
2700;149800;234900;278700;2128400;1629900;1702700;110900;168500;204100;1296100;1323900;1305200
2800;152200;218200;287400;1792600;1601000;1638200;111000;170200;207500;1372000;1224900;1184100
2900;149600;223700;269100;1868300;1854300;1796300;122000;166000;198100;1286700;1251900;1300200
3000;147800;216700;262200;1861000;1746600;1745400;110000;174900;223700;1226700;1244700;1234100
