Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;341800;321900;336400;2662400;1973400;1831000;217200;154300;151500;1598700;1361500;1513300
200;203700;167400;172200;3139400;1848500;1920700;130600;124700;136700;1454100;1291700;1405300
300;181100;170000;178200;2492100;1644500;1893200;129800;226400;133600;1296800;1234500;1252500
400;175600;164700;167600;1861800;1587100;1590600;120700;119500;122000;1461700;1329800;1228400
500;178900;173500;186600;2204100;1886700;1879500;137000;137100;139100;1334900;1248100;1271300
600;180300;189500;166400;2024100;1776100;1620200;124700;128600;137700;1447000;1210500;1120200
700;175400;179200;211300;1903400;1627700;1644300;124700;133600;149800;1371700;1271000;1218100
800;200300;189800;201800;1879800;1751100;1678400;132300;141600;146400;1298600;1294800;1249800
900;174400;188300;194700;2627900;1795100;1639100;124400;146600;149200;1296600;1234900;1471400
1000;172500;182800;201000;1866700;1680500;1639100;122600;137700;150700;1408600;1247900;1242900
1100;171400;183500;212500;1860400;1691100;1915900;123100;140500;260300;1296300;1213400;1245200
1200;174700;178800;186100;2014100;1880500;1647600;115400;137700;144900;1238300;1149000;1205500
1300;217600;191700;220800;2019800;1755300;1679500;121800;144700;163600;1363600;1225300;1266600
1400;166700;191100;230000;1863200;1618300;1661500;121600;146600;164900;1369900;1316100;1267400
1500;163000;192400;207600;2208200;2645500;2530600;174400;263100;274800;2149700;1877800;1582800
1600;195000;273900;356100;2426900;2268800;2961600;179700;227000;342000;2159300;1613100;1499300
1700;205000;229500;277300;2374800;2510100;2091800;114600;145500;176400;1294800;1205400;1298800
1800;172700;192100;223600;1813300;1578100;1548800;219200;392600;178200;1732600;1210200;1253000
1900;163600;200600;257300;1801900;1607700;1566600;119000;156100;181000;1294600;1237100;1270300
2000;161600;203100;259100;2591000;1807300;1664500;116300;155500;180700;1294500;1208800;1250800
2100;161700;213700;250600;1918600;1633100;1698100;116200;161000;285200;1388600;1210500;1294400
2200;153700;196200;231500;1826000;1697500;1783700;110700;153200;180200;1286100;1299200;1302000
2300;157700;205700;259700;3091500;1890100;1850600;109200;155000;191300;1296700;1255800;1291900
2400;163200;213600;266200;1892400;1711500;1833700;113100;183100;197600;1367300;1239900;1291500
2500;150600;209900;237600;1841400;1634600;1684500;108400;163400;184600;1285900;1245900;1289300
2600;223700;360100;259500;2101200;1919800;1832200;92400;157400;195300;1290400;1260900;1314900
2700;149800;218200;274600;1821700;1715800;1855300;112200;169500;213500;1283300;1310800;1509800
2800;143900;232000;283600;1871200;1687300;1754300;111200;170900;209600;1288800;1258000;1356100
2900;304900;422300;406900;1845200;1790700;1848900;123600;172400;219300;1249000;1227900;1240600
3000;157200;217600;276400;1799900;1705200;1592200;112300;167800;200900;1285900;1259100;1435100
