Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;19958;72021;71471;200893;489828;451979;13334;45028;45063;133839;225076;225027
200;19685;73267;71271;198832;978808;956767;13271;45346;45412;133211;448851;448841
300;19785;71958;69734;198619;722364;706403;13196;90531;90612;133182;674040;669820
400;19560;71339;70397;200474;716144;708788;13187;68151;67857;133096;672206;672289
500;19581;72693;70300;199225;720584;701727;13188;68404;67497;132663;674255;674410
600;19491;71452;71436;199566;747977;744658;13171;68499;68702;132798;675871;676013
700;19287;73603;73460;199421;739410;733632;13073;68895;69111;133395;674869;675068
800;19186;74753;73696;199369;744290;731890;13065;68893;68985;133606;675543;675748
900;18908;76155;74929;197688;725463;699131;13043;69284;69563;132971;674494;669146
1000;19078;73571;73498;199900;712994;692174;12973;69454;69737;133560;675365;675589
1100;19080;74378;74368;199546;737233;715471;12942;69632;69998;133629;677088;675902
1200;18638;76951;76039;199698;714170;701622;12947;69883;70305;133410;674060;674361
1300;18761;77448;76619;198337;736399;716500;12861;70078;70497;132352;677416;676495
1400;18569;76381;75107;197522;723810;715599;12850;70261;70521;132744;677370;677771
1500;18601;77048;77916;198970;738887;724420;12854;70435;70904;133334;676990;676220
1600;18187;75370;73679;198523;735987;726327;12757;70611;71023;132719;677217;677725
1700;18254;76202;76722;197725;712627;708212;12782;70675;71221;132690;676405;676947
1800;18232;75767;75332;197752;723752;707019;12730;71092;71659;132339;677777;677243
1900;18149;76916;77431;198650;733235;715703;12676;71226;71329;133181;679750;679161
2000;18039;77513;77950;197680;749352;730533;12671;71434;72068;132391;678827;676720
2100;17902;76502;77907;198573;732594;712702;12645;71458;72032;132345;678545;679274
2200;17692;74693;75315;198270;743896;737149;12598;71495;72065;133150;679506;680132
2300;17604;76366;75007;197625;738274;729985;12539;71738;72404;133021;679352;680105
2400;17774;77134;77532;197723;741759;736616;12556;72150;72983;132978;679771;680516
2500;17495;78572;78806;197231;739645;726878;12509;72508;73332;132204;677743;678415
2600;17347;77631;79028;196239;725709;711105;12499;72648;73438;132014;677370;677853
2700;17322;79353;81129;197823;731993;711456;12457;72730;73472;132352;679799;675952
2800;17141;78479;78407;196977;728210;711365;12378;73045;73927;132746;680104;681036
2900;17266;77789;79521;196661;726174;721378;12401;73057;73519;132066;680153;681077
3000;17094;77898;80138;197842;732617;714820;12354;73346;74351;132089;680314;681316
