Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;195800;998600;715800;1847600;4265100;3686500;112000;199000;188700;1460200;2892600;2837300
200;178400;524200;667900;1786100;6752700;6929500;127100;308600;320100;1266400;3172200;3201200
300;195600;610500;594100;2042000;5858800;5694900;128000;528500;537600;1363900;4237800;4169600
400;214900;593000;636500;2260300;5706300;5545500;128000;437400;422000;1462500;4184000;4149100
500;207400;602500;602500;2258500;5792600;5479600;121600;416500;418400;1314600;4624400;4236400
600;213100;614000;621700;2058400;6410100;5796300;122100;434300;423100;1353000;4508400;4336600
700;191400;611200;604000;2008300;6255900;6053200;129100;467600;457400;1368800;4439300;4337200
800;189500;593800;618100;1996800;5992500;5854000;128500;442400;451600;1355700;4496600;4257200
900;230800;622400;586500;1970600;5993600;5494100;136500;439100;440200;1262300;4056200;4130500
1000;202000;639900;633600;2058700;5629500;5578500;124500;444000;457000;1324600;4420300;4384000
1100;191200;638600;627600;2005400;5824100;5741600;123900;442400;460400;1332000;4364000;4263600
1200;188200;650800;780100;2048600;5666600;5495400;123800;506700;471000;1273000;4184000;4184300
1300;184500;642100;628500;2138900;5753000;5659000;120800;455600;450200;1321700;4350500;4337300
1400;186500;628800;687600;2149200;6001200;5803700;121400;463900;455200;1449500;4286400;4424000
1500;190200;654200;636100;2197300;5982900;5799200;121500;452800;477100;1464700;4271200;4304600
1600;194100;620700;636600;2048200;6173000;5605200;119200;451300;487900;1339200;4484600;4338700
1700;182600;636100;661900;2048900;5879100;5659000;128900;440300;465800;1249500;4425100;4374300
1800;177700;610600;621800;1914700;5272500;5677400;106200;715400;756600;1361200;3860100;4018900
1900;204500;735300;654100;1791900;5232100;5312400;118300;415200;491800;1248400;4094500;4226000
2000;177100;627800;640800;2097900;5395300;5178000;106900;413400;435000;1167900;4066300;3809100
2100;155000;570500;591000;1896600;5913100;5405600;114200;439600;468800;1306600;4382200;4411600
2200;173400;597100;621000;2003900;5986900;5734600;112300;461200;458800;1369600;4373900;4292100
2300;168900;624800;599500;1986300;5883600;5752700;121500;459500;461400;1331900;4481100;4383300
2400;171400;641800;678000;2033600;5925400;5772000;111900;460800;494300;1362800;4428700;4635100
2500;171300;666000;688800;2027100;6075000;5752500;114900;464000;495900;1350300;4239800;4239300
2600;169300;670300;708300;2006800;5712300;5702100;115600;470100;502900;1339500;4099800;4251400
2700;168300;686800;715500;2039200;5831400;5943500;113800;472600;486700;1341000;4306800;4605300
2800;167300;657500;687200;2034100;5723300;5747200;113700;463700;498500;1329400;4359500;4555800
2900;171400;700400;695000;2031100;5743900;5746800;109100;486000;474300;1380000;4464900;4386300
3000;264800;655500;721700;1996700;5762600;5728600;107500;490700;492400;1340100;4364600;4314600
