Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;292175;169300;214425;1892475;1749675;1652500;118250;121925;126125;1171350;1465050;1241750
200;175475;166950;172750;1823100;1622725;1628175;119100;123850;129225;1536575;1190900;1235300
300;176250;167075;215200;1797825;1616700;1989825;119550;123825;131950;1196375;1201600;1316275
400;171425;169600;157075;1777900;1959650;1642250;115450;122925;130725;1552600;1891125;1857500
500;275175;321525;392950;2682200;1883025;1945775;290000;178125;177400;1243925;1202425;1235450
600;244325;186500;175300;1721200;1587475;1623650;114375;135825;140250;1133475;1142650;1295875
700;164825;178275;169625;1740675;1809675;1706525;106725;126875;131250;1263225;1228875;1247250
800;162150;171250;181100;1979600;1608250;1652950;134425;133975;150350;1160275;1179125;1230575
900;252100;318125;209950;1703225;1598075;1646825;110025;131300;142400;1180850;1539875;1285300
1000;163650;188225;212300;1810250;1682925;1686225;112925;137725;151700;1411275;1230900;1253650
1100;163850;187900;248125;1760950;1700550;2140525;116425;147800;163900;1185950;1332950;1272750
1200;158900;180000;197025;1753625;1840125;1682800;108350;137200;150925;1266700;1215050;1266175
1300;162225;180525;194550;2165750;1661100;1781325;120550;153275;172725;1181250;1264900;1312400
1400;160225;191425;220850;1783200;1713250;1686525;111475;143800;166950;1278450;1224025;1250025
1500;162375;191175;222175;1786875;1652825;1894150;113300;148600;168050;1163625;1239725;1323850
1600;159550;196875;227675;1752625;1737125;1677475;107575;154700;172100;1207400;1248850;1279925
1700;155150;205325;238150;2025625;1638625;1763425;106850;152075;174700;1177625;1220250;1552475
1800;157300;196700;225325;1755400;1788550;1696200;110400;153550;175175;1181825;1438100;1286825
1900;153275;208525;248800;1849250;1669100;1899550;132625;180675;197225;1278500;1251450;1468925
2000;153950;209125;246825;1720175;1844425;1760950;107675;159500;180775;1170500;1250500;1362750
2100;156375;208325;245125;2047525;1694125;1819800;103850;182000;185625;1144250;1254925;1522175
2200;156925;198825;233300;1778950;1759875;1715150;102725;160800;212700;1374125;1237875;1254725
2300;149825;210000;253625;2402275;1711025;2111950;106275;162675;189350;1165775;1427550;1330975
2400;150650;209800;251750;1895825;1818575;1916925;135875;170300;218875;1187500;1247800;1669425
2500;157200;223875;263375;1888975;1759000;1552900;106500;168700;199775;1338225;1364925;1284150
2600;148625;214725;264450;1826225;1710150;2131150;100625;169275;200850;1164250;1244325;1386925
2700;149050;220150;263000;1718175;2052250;1778775;104100;173050;204725;1500725;1433575;1412925
2800;166350;239600;275375;2092325;1850650;1997025;152275;248325;264975;1490825;1542975;1423000
2900;156875;228025;301125;1883250;2416850;1793500;103475;173975;207375;1136525;1615325;1333825
3000;142625;229050;289600;1883750;1691650;3015075;153175;317175;337125;1992250;1950775;1397450
