Sample sizes;Binary Small Text & Naive Comparison;Binary Small Text & Standard KMP;Binary Small Text & Optimal KMP;Binary Large Text & Naive Comparison;Binary Large Text & Standard KMP;Binary Large Text & Optimal KMP;DNA Small Text & Naive Comparison;DNA Small Text & Standard KMP;DNA Small Text & Optimal KMP;DNA Large Text & Naive Comparison;DNA Large Text & Standard KMP;DNA Large Text & Optimal KMP
100;39758;50179;50418;401300;486453;476026;26636;45633;45720;267012;450875;450267
200;39780;50083;50543;400680;469748;470153;26548;46260;46449;266720;451086;451239
300;39542;49680;50123;398470;475912;476539;26494;46827;47112;266498;451966;452221
400;39334;52165;48452;400502;493727;481720;26436;47220;47580;266798;452764;453229
500;39098;50673;51805;397830;472988;466971;26300;47848;48274;266344;453170;453052
600;38926;51262;51282;397756;491104;458326;26288;48711;49287;265458;450247;450766
700;38686;53740;51011;398558;504115;503283;26294;49341;48788;265936;454469;455149
800;38198;52587;52760;399344;474759;469289;26128;50033;50744;266150;451990;452680
900;38230;53163;53881;397358;479580;469034;26006;50331;50992;266036;455737;456688
1000;37940;56382;58658;397498;503415;497353;25854;51117;52095;265864;456111;457086
1100;37734;54072;55476;397742;502937;504226;25928;51744;52868;266172;457086;458127
1200;37634;55051;56066;396044;481823;478948;25782;52172;53066;265968;457611;458817
1300;37594;56295;56129;399090;493655;486347;25890;53173;54541;265980;458153;459470
1400;37180;57708;61328;397456;501960;492088;25844;53773;55256;265556;458107;459462
1500;36988;56973;60471;395436;484054;481751;25646;54242;55754;265702;459477;461079
1600;36936;58429;61633;395894;485090;488719;25692;55055;56675;265740;460115;461729
1700;36646;60844;65612;396962;482948;483186;25438;55477;57130;265628;460669;462322
1800;36222;58531;61275;398012;478290;481518;25400;56129;57818;265856;461472;463143
1900;36298;61947;67102;396528;486088;488496;25336;56911;58852;265790;462151;464113
2000;35986;62264;67003;395972;511729;515491;25174;57366;59283;265050;462080;464103
2100;35886;62881;66867;395962;505370;498330;25214;58113;59906;265044;462685;464746
2200;35258;62211;63983;396972;487540;482083;25138;58619;60803;265274;460662;462435
2300;35466;63174;67418;395974;514182;508238;25058;59120;61249;264982;464285;466514
2400;35010;62502;67130;395144;515822;522978;25020;59876;62169;265288;465262;467701
2500;34986;65305;69683;393816;502975;473539;25082;60688;63187;264912;464700;466926
2600;34972;64629;70286;394674;516256;523467;24930;61268;63842;264848;465814;468484
2700;34616;67087;71751;394600;517327;519603;24810;61749;64443;265054;467145;470034
2800;34712;66418;72592;395674;485697;490705;24876;62563;65446;264704;464705;467122
2900;34482;66604;69690;394372;518120;526678;24764;63067;65749;264950;468220;471082
3000;34178;68957;76394;395292;487739;492411;24746;63749;66782;264872;465539;467954
